Participant ID,Group,What is your age?,What is your occupation / major if a student?,"How much experience do you have with Virtual Reality, if any?","How much did you enjoy said experience?
Do Not answer if you reported no experience.","I daydream and fantasize, with some regularity, about things that might happen to me.","I often have tender, concerned feelings for people less fortunate than me.","I sometimes find it difficult to see things from the ""other guy's"" point of view.",Sometimes I don't feel very sorry for other people when they are having problems.,I really get involved with the feelings of the characters in a novel.,"In emergency situations, I feel apprehensive and ill-at-ease.","I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",I try to look at everybody's side of a disagreement before I make a decision.,"When I see someone being taken advantage of, I feel kind of protective towards them.",I sometimes feel helpless when I am in the middle of a very emotional situation.,I sometimes try to understand my friends better by imagining how things look from their perspective.,Becoming extremely involved in a good book or movie is somewhat rare for me.,"When I see someone get hurt, I tend to remain calm.",Other people's misfortunes do not usually disturb me a great deal.,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.","After seeing a play or movie, I have felt as though I were one of the characters.",Being in a tense emotional situation scares me.,"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",I am usually pretty effective in dealing with emergencies.,I am often quite touched by things that I see happen.,I believe that there are two sides to every question and try to look at them both.,I would describe myself as a pretty soft-hearted person.,"When I watch a good movie, I can very easily put myself in the place of a leading character.",I tend to lose control during emergencies.,"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while.","When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.","When I see someone who badly needs help in an emergency, I go to pieces.","Before criticizing somebody, I try to imagine how I would feel if I were in their place."
N12J,Control,23,COMPUTER SCIENCE,3,9.0,D,D,A,B,E,D,C,E,D,E,D,C,C,E,D,E,E,E,C,D,D,E,E,D,C,D,B,D
T13J,Test,26,PhD candidates in Materials Science and Engineering ,3,8.0,D,C,C,D,C,D,D,E,D,D,C,D,D,C,C,D,B,A,D,C,C,D,D,C,C,D,D,D
N14J,Control,23,Computer Science,2,8.0,D,C,B,B,C,B,C,C,D,C,E,B,B,B,B,C,D,A,D,D,E,D,D,B,D,D,B,D
N15J,Control,21,Computer Science and Linguistics Double Major,4,8.0,E,E,B,B,B,C,D,D,D,E,E,D,E,B,B,D,D,B,E,D,D,D,D,A,E,E,B,D
T16J,Test,23,Computer Science,3,3.0,E,D,B,C,B,A,B,D,D,B,C,A,C,A,A,B,D,B,E,E,D,C,D,B,B,D,A,C
T17J,Test,21,"computer science, digital arts + neuro minor ",4,9.0,D,D,B,B,B,B,E,D,E,B,D,A,E,B,D,B,C,B,E,E,E,C,B,A,E,C,A,E
T18J,Test,25,Bioengineering PhD ,1,,B,D,A,B,B,C,B,E,D,B,E,C,D,B,B,B,D,A,E,C,E,C,B,A,E,D,A,C
N01E,Control,23,"PhD, Electrical engineering",1,,B,D,D,E,A,D,B,E,E,A,D,E,A,A,C,A,A,A,B,D,E,C,C,A,A,A,A,D
N19J,Control,27,CS,5,10.0,B,E,B,D,D,A,B,D,C,B,E,A,E,D,E,E,A,E,E,C,E,A,A,A,D,E,B,E
T20J,Test,20,Computer Science,4,8.0,E,E,B,B,E,C,A,D,D,B,E,A,A,A,B,E,C,A,C,E,D,D,E,B,D,E,D,E
N21J,Control,25,Computer Science,4,7.0,E,E,A,B,E,B,A,E,E,E,E,A,D,A,B,D,D,A,D,E,E,E,E,D,D,E,A,D
T22J,Test,21,Economics,2,8.0,D,D,B,C,D,B,B,D,D,B,D,B,D,C,D,B,B,C,D,D,D,D,D,B,B,D,B,D
N23J,Control,20,digital arts,4,5.0,E,D,A,A,D,D,B,D,D,C,E,B,B,A,C,D,C,A,C,D,D,D,D,B,C,D,B,D
T24J,Test,24,Unemployed,2,6.0,D,C,B,B,C,B,D,E,D,A,E,D,D,B,C,B,E,B,D,C,E,C,D,B,D,C,B,E
N25J,Control,23,WGSS major,2,5.0,C,E,B,B,C,B,C,E,D,E,E,C,B,A,A,B,E,B,D,D,E,E,B,A,C,B,B,D
T26J,Test,19,AAAS and Sociology Double Major,2,6.0,A,E,A,A,E,D,A,D,E,E,E,A,A,A,A,C,C,A,E,E,D,D,E,A,B,E,B,E
T27J,Test,47,administrator,3,10.0,A,D,B,D,C,D,A,E,E,E,D,A,D,D,B,E,E,C,D,D,E,E,E,A,C,E,C,C
N02E,Control,22,Computer Science,5,10.0,E,E,B,D,A,E,A,E,E,E,E,E,E,C,A,A,E,B,C,E,E,E,E,D,E,A,A,E
N28J,Control,24,Computer science digital arts,4,5.0,C,B,A,B,D,C,A,E,C,D,D,B,B,C,B,D,E,B,B,D,D,D,E,B,E,D,B,D
T29J,Test,61,Librarian,1,8.0,E,B,A,D,D,B,B,C,B,D,D,A,D,D,D,D,D,C,E,D,E,B,E,A,B,E,A,C
N30J,Control,21,Undergraduate student ('27) Neuroscience major ,2,9.0,E,C,C,A,D,C,A,C,E,B,C,B,B,A,B,C,B,A,D,E,D,E,B,B,B,C,B,D
T31J,Test,22,mechanical engineering,4,7.0,D,D,B,A,E,B,A,E,E,A,E,D,D,B,B,D,D,A,E,C,E,C,D,B,D,E,A,E
N32J,Control,23,msda,5,6.0,D,D,B,C,B,B,E,C,E,C,D,B,B,B,C,B,D,A,D,D,E,D,D,A,D,D,D,C
T33J,Test,20,Economics and Mathematical Data Science,2,7.0,B,D,A,B,D,C,D,D,E,D,D,C,D,B,A,A,D,A,C,D,D,D,B,A,D,B,B,D
N34J,Control,20,computer science,2,10.0,D,D,B,B,D,C,B,D,C,D,C,B,B,A,A,D,C,A,C,C,D,D,D,B,C,D,B,D
T35J,Test,21,MES & Sociology Double Major,2,5.0,C,D,A,C,D,D,C,D,C,B,D,B,B,A,B,B,C,C,E,C,D,E,D,A,E,E,A,C
N36J,Control,27,Sonic Practice MFA,3,4.0,E,D,D,B,D,A,B,D,D,B,D,B,D,B,B,C,D,B,E,E,D,D,D,A,E,D,A,C
T37J,Test,25,Dartmouth Digital Lab Technical Specialist - Film & Media Studies / Studio Art,5,8.0,E,E,A,A,E,D,A,E,D,D,E,A,C,B,B,D,D,A,C,D,C,E,D,B,D,E,C,E
N38J,Control,20,Computer Science,2,8.0,E,E,B,E,E,D,A,D,E,D,D,A,A,A,A,B,A,A,B,E,A,E,D,D,B,E,A,C
T39J,Test,23,Post-Bac Intern for Music Dept at Dartmouth College & Musician,1,,E,C,B,B,E,C,B,D,D,C,D,A,D,B,B,D,B,B,C,D,D,D,E,C,D,E,B,D
N40J,Control,22,CS major,3,6.0,E,C,A,A,D,D,D,E,D,B,E,A,B,B,B,E,D,A,C,C,E,E,E,C,D,E,C,D
T41J,Test,22,cs student,4,8.0,E,D,C,A,D,B,B,C,E,E,E,A,B,A,C,E,E,A,B,E,C,E,E,D,D,D,D,D
N42J,Control,22,MSDA,4,8.0,D,D,B,D,D,D,B,D,D,D,D,B,C,B,D,D,D,B,C,D,D,D,D,B,D,D,D,C
T43J,Test,23,MSCS student,2,8.0,D,E,A,A,B,A,C,D,E,A,E,A,E,A,B,B,A,A,D,E,D,E,B,A,E,E,A,E
N44J,Control,20,Computer Science & MES,3,8.0,D,D,A,B,D,C,B,E,E,C,E,A,D,A,B,A,C,B,E,D,D,D,D,B,E,D,C,E
T45J,Test,22,Computer Science,3,7.0,E,D,A,A,D,A,B,D,D,A,E,B,E,A,D,D,A,B,E,D,D,D,D,A,D,D,A,D
N46J,Control,26,Museum Educator,3,10.0,E,D,A,A,D,B,B,E,D,D,E,B,E,B,B,D,D,A,E,D,C,E,E,A,D,E,A,E
T47J,Test,21,Computer Science Modified Digital Arts,5,10.0,C,E,C,D,C,B,E,E,E,D,E,C,B,B,B,C,D,B,D,D,D,D,C,B,D,D,E,D
N48J,Control,23,MS in CS w/ Digital Art,4,7.0,D,D,C,B,C,D,C,D,C,C,D,B,A,B,B,B,E,A,C,C,C,B,C,B,C,C,C,C
T49J,Test,19,Computer Science / Math,4,3.0,D,B,C,B,D,B,B,D,D,D,E,D,B,B,B,B,C,A,E,C,C,C,B,B,D,B,B,C
N50J,Control,26,Clinical Engineering Research Assistant,1,,C,D,C,C,B,D,C,C,C,D,D,A,B,C,C,B,C,B,C,C,D,C,B,C,D,B,C,D
